,0
95,"""IGL@ Immunoglobulin lambda light chain"""
96,"""ESTs"""
97,"""No cluster in current Unigene and no Genbank entry for T67077 (qualifier T67077)"""
98,"""No cluster in current Unigene and no Genbank entry for T81492 (qualifier T81492_f)"""
99,"""ESTs, Highly  similar to INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR [Homo sapiens]"""
100,"""EST"""
101,"""Skeletal beta-tropomyosin"""
102,"""Guanine nucleotide regulatory protein (NET1) mRNA"""
103,"""CYP1B1 Cytochrome P450 IB1 (dioxin-inducible)"""
104,"""Onconeural ventral antigen-1 (Nova-1) mRNA"""
105,"""CYB561 Cytochrome B561"""
106,"""Mitogen induced nuclear orphan receptor (MINOR) mRNA"""
107,"""GRIK5 Glutamate receptor, ionotropic, kainate 5"""
108,"""ZNF127 (ZNF127) gene"""
109,"""BAGE B melanoma antigen"""
110,"""AR1 protein (AR) mRNA"""
111,"""Protein associated with tumorigenic conversion (CATR1.3) mRNA"""
112,"""EPLG7 Eph-related receptor tyrosine kinase ligand 7"""
113,"""G protein gamma-11 subunit mRNA"""
114,"""Complexin II mRNA"""
115,"""IFNA1 Interferon, alpha 1"""
116,"""EGF Epidermal growth factor"""
117,"""KIT V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog"""
118,"""TPM1 Tropomyosin alpha chain (skeletal muscle)"""
119,"""PLAT Plasminogen activator, tissue type (t-PA)"""
120,"""GYPA Glycophorin A"""
121,"""BMP7 Bone morphogenetic protein 7 (osteogenic protein 1)"""
122,"""EGR1 Early growth response protein 1"""
123,"""PTPRB Protein tyrosine phosphatase, receptor type, beta polypeptide"""
124,"""CEL Carboxyl ester lipase (bile salt-stimulated lipase)"""
125,"""PGF Placental growth factor, vascular endothelial growth factor-related protein"""
126,"""ADH4 Alcohol dehydrogenase 4 (class II), pi polypeptide"""
127,"""HOX4C mRNA for a homeobox protein"""
128,"""CELL SURFACE GLYCOPROTEIN MUC18 PRECURSOR"""
129,"""GIF Polymeric immunoglobulin receptor"""
130,"""TTF1 Transcription termination factor, RNA polymerase I"""
131,"""No cluster in current Unigene and no Genbank entry for X83705 (qualifier X83705)"""
132,"""PRKCZ Protein kinase C, zeta"""
133,"""MYH6 Myosin, heavy polypeptide 6, cardiac muscle, alpha (cardiomyopathy, hypertrophic 1)"""
134,"""SERINE/THREONINE-PROTEIN KINASE RECEPTOR R5 PRECURSOR"""
135,"""LTBP2 Latent transforming growth factor beta binding protein 2"""
136,"""NAD(P) transhydrogenase"""
137,"""BETA-DEFENSIN 1 PRECURSOR"""
